date,account_ref,amount
2026-01-01,GL-4000,100.0
2026-01-02,GL-4001,101.0
2026-01-03,GL-4002,102.0
2026-01-04,GL-4003,103.0
2026-01-05,GL-4004,104.0
2026-01-06,GL-4005,105.0
2026-01-07,GL-4006,106.0
2026-01-08,GL-4007,100.0
2026-01-09,GL-4008,101.0
2026-01-10,GL-4009,102.0
2026-01-11,GL-4010,103.0
2026-01-12,GL-4011,104.0
2026-01-13,GL-4012,105.0
2026-01-14,GL-4013,106.0
2026-01-15,GL-4014,100.0
2026-01-16,GL-4015,101.0
2026-01-17,GL-4016,102.0
2026-01-18,GL-4017,103.0
2026-01-19,GL-4018,104.0
2026-01-20,GL-4019,105.0
2026-01-21,GL-4020,106.0
2026-01-22,GL-4021,100.0
2026-01-23,GL-4022,101.0
2026-01-24,GL-4023,102.0
2026-01-25,GL-4024,103.0
2026-01-26,GL-4025,104.0
2026-01-27,GL-4026,105.0
2026-01-28,GL-4027,106.0
2026-01-29,GL-4028,100.0
2026-01-30,GL-4029,101.0
2026-02-01,GL-4030,102.0
2026-02-02,GL-4031,103.0
2026-02-03,GL-4032,104.0
2026-02-04,GL-4033,105.0
2026-02-05,GL-4034,106.0
2026-02-06,GL-4035,100.0
2026-02-07,GL-4036,101.0
2026-02-08,GL-4037,102.0
2026-02-09,GL-4038,103.0
2026-02-10,GL-4039,104.0
2026-02-11,GL-4040,105.0
2026-02-12,GL-4041,106.0
2026-02-13,GL-4042,100.0
2026-02-14,GL-4043,101.0
2026-02-15,GL-4044,102.0
2026-02-16,GL-4045,103.0
2026-02-17,GL-4046,104.0
2026-02-18,GL-4047,105.0
2026-02-19,GL-4048,106.0
2026-02-20,GL-4049,100.0
2026-02-21,GL-4050,101.0
2026-02-22,GL-4051,102.0
2026-02-23,GL-4052,103.0
2026-02-24,GL-4053,104.0
2026-02-25,GL-4054,105.0
2026-02-26,GL-4055,106.0
2026-02-27,GL-4056,100.0
2026-02-28,GL-4057,290.0
2026-02-29,GL-4058,102.0
2026-02-30,GL-4059,103.0
2026-03-01,GL-4060,104.0
2026-03-02,GL-4061,105.0
2026-03-03,GL-4062,106.0
2026-03-04,GL-4063,100.0
2026-03-05,GL-4064,101.0
2026-03-06,GL-4065,102.0
2026-03-07,GL-4066,103.0
2026-03-08,GL-4067,104.0
2026-03-09,GL-4068,105.0
2026-03-10,GL-4069,106.0
2026-03-11,GL-4070,100.0
2026-03-12,GL-4071,101.0
2026-03-13,GL-4072,102.0
2026-03-14,GL-4073,103.0
2026-03-15,GL-4074,104.0
2026-03-16,GL-4075,105.0
2026-03-17,GL-4076,106.0
2026-03-18,GL-4077,100.0
2026-03-19,GL-4078,101.0
2026-03-20,GL-4079,102.0
2026-03-21,GL-4080,103.0
2026-03-22,GL-4081,104.0
2026-03-23,GL-4082,105.0
2026-03-24,GL-4083,106.0
2026-03-25,GL-4084,100.0
2026-03-26,GL-4085,101.0
2026-03-27,GL-4086,102.0
2026-03-28,GL-4087,103.0
2026-03-29,GL-4088,104.0
2026-03-30,GL-4089,105.0
2026-04-01,GL-4090,106.0
2026-04-02,GL-4091,100.0
2026-04-03,GL-4092,101.0
2026-04-04,GL-4093,102.0
2026-04-05,GL-4094,103.0
2026-04-06,GL-4095,104.0
2026-04-07,GL-4096,105.0
2026-04-08,GL-4097,106.0
2026-04-09,GL-4098,100.0
2026-04-10,GL-4099,101.0
2026-04-11,GL-4100,102.0
2026-04-12,GL-4101,12.0
2026-04-13,GL-4102,104.0
2026-04-14,GL-4103,105.0
2026-04-15,GL-4104,106.0
2026-04-16,GL-4105,100.0
2026-04-17,GL-4106,101.0
2026-04-18,GL-4107,102.0
2026-04-19,GL-4108,103.0
2026-04-20,GL-4109,104.0
2026-04-21,GL-4110,105.0
2026-04-22,GL-4111,106.0
2026-04-23,GL-4112,100.0
2026-04-24,GL-4113,101.0
2026-04-25,GL-4114,102.0
2026-04-26,GL-4115,103.0
2026-04-27,GL-4116,104.0
2026-04-28,GL-4117,105.0
2026-04-29,GL-4118,106.0
2026-04-30,GL-4119,100.0
