txn_id,segment,amount
OPS-0000,Operations,8284.77
OPS-0001,Operations,118.86
OPS-0002,Operations,668.48
OPS-0003,Operations,467.34
OPS-0004,Operations,16196.22
OPS-0005,Operations,10717.62
OPS-0006,Operations,47483.06
OPS-0007,Operations,182.31
OPS-0008,Operations,1844.02
OPS-0009,Operations,122.85
OPS-0010,Operations,452.81
OPS-0011,Operations,3281.45
OPS-0012,Operations,120.12
OPS-0013,Operations,394.92
OPS-0014,Operations,8905.4
OPS-0015,Operations,4313.45
OPS-0016,Operations,458.48
OPS-0017,Operations,5858.64
OPS-0018,Operations,26809.66
OPS-0019,Operations,104.59
OPS-0020,Operations,26149.16
OPS-0021,Operations,12428.48
OPS-0022,Operations,1048.94
OPS-0023,Operations,292.71
OPS-0024,Operations,74411.36
OPS-0025,Operations,1022.78
OPS-0026,Operations,189.77
OPS-0027,Operations,195.05
OPS-0028,Operations,34872.5
OPS-0029,Operations,6474.08
OPS-0030,Operations,26386.68
OPS-0031,Operations,15459.5
OPS-0032,Operations,4061.48
OPS-0033,Operations,83051.46
OPS-0034,Operations,1366.48
OPS-0035,Operations,4530.25
OPS-0036,Operations,30776.13
OPS-0037,Operations,7170.66
OPS-0038,Operations,38469.87
OPS-0039,Operations,5395.81
OPS-0040,Operations,12993.18
OPS-0041,Operations,137.24
OPS-0042,Operations,482.72
OPS-0043,Operations,738.18
OPS-0044,Operations,173.53
OPS-0045,Operations,499.31
OPS-0046,Operations,200.91
OPS-0047,Operations,682.21
OPS-0048,Operations,8073.34
OPS-0049,Operations,1243.07
OPS-0050,Operations,1289.86
OPS-0051,Operations,425.13
OPS-0052,Operations,632.31
OPS-0053,Operations,64560.04
OPS-0054,Operations,8792.37
OPS-0055,Operations,6720.37
OPS-0056,Operations,326.15
OPS-0057,Operations,15395.02
OPS-0058,Operations,309.18
OPS-0059,Operations,1375.2
OPS-0060,Operations,93018.65
OPS-0061,Operations,8317.62
OPS-0062,Operations,4686.51
OPS-0063,Operations,11319.9
OPS-0064,Operations,33771.92
OPS-0065,Operations,21281.38
OPS-0066,Operations,486.57
OPS-0067,Operations,124.82
OPS-0068,Operations,883.81
OPS-0069,Operations,635.66
OPS-0070,Operations,429.49
OPS-0071,Operations,67410.75
OPS-0072,Operations,42569.92
OPS-0073,Operations,879.09
OPS-0074,Operations,9253.71
OPS-0075,Operations,1537.79
OPS-0076,Operations,55416.97
OPS-0077,Operations,2379.88
OPS-0078,Operations,623.22
OPS-0079,Operations,549.39
OPS-0080,Operations,4831.75
OPS-0081,Operations,614.08
OPS-0082,Operations,5672.28
OPS-0083,Operations,49370.63
OPS-0084,Operations,1578.34
OPS-0085,Operations,454.95
OPS-0086,Operations,98313.42
OPS-0087,Operations,3377.37
OPS-0088,Operations,187.38
OPS-0089,Operations,138.47
OPS-0090,Operations,213.28
OPS-0091,Operations,7626.73
OPS-0092,Operations,23781.44
OPS-0093,Operations,1847.06
OPS-0094,Operations,155.09
OPS-0095,Operations,1395.91
OPS-0096,Operations,97356.32
OPS-0097,Operations,3866.72
OPS-0098,Operations,81890.8
OPS-0099,Operations,38224.26
OPS-0100,Operations,108.25
OPS-0101,Operations,14526.65
OPS-0102,Operations,11095.1
OPS-0103,Operations,4082.36
OPS-0104,Operations,631.65
OPS-0105,Operations,8373.08
OPS-0106,Operations,216.1
OPS-0107,Operations,2015.1
OPS-0108,Operations,2297.05
OPS-0109,Operations,72685.5
OPS-0110,Operations,42418.84
OPS-0111,Operations,616.83
OPS-0112,Operations,3175.11
OPS-0113,Operations,343.52
OPS-0114,Operations,54686.93
OPS-0115,Operations,40884.22
OPS-0116,Operations,785.84
OPS-0117,Operations,8257.5
OPS-0118,Operations,6712.91
OPS-0119,Operations,287.42
OPS-0120,Operations,19387.97
OPS-0121,Operations,4150.85
OPS-0122,Operations,21671.02
OPS-0123,Operations,3899.97
OPS-0124,Operations,100.4
OPS-0125,Operations,938.57
