Month,Gross_Revenue,Raw_COGS,Marketing_Spend_CAC,Other_OpEx_Salaries,Historical_AR_Days,Total_Bank_Debt,Annual_Floating_Interest_Rate,Starting_Cash_Runway
Month_1,120000,36000,25000,45000,30,5000000,0.05,850000
Month_2,125000,37500,26000,45000,32,5000000,0.05,0
Month_3,132000,42240,28000,46000,31,5000000,0.05,0
Month_4,140000,47600,31000,46000,45,5000000,0.06,0
Month_5,148000,53280,35000,47000,52,5000000,0.07,0
Month_6,155000,58900,40000,47000,60,5000000,0.075,0
Month_7,162000,64800,45000,48000,68,5000000,0.08,0
Month_8,170000,71400,52000,48000,75,5000000,0.085,0
Month_9,178000,78320,58000,49000,75,5000000,0.09,0
Month_10,185000,85100,65000,49000,75,5000000,0.09,0
Month_11,192000,92160,72000,50000,75,5000000,0.09,0
Month_12,200000,100000,80000,50000,75,5000000,0.09,0
