Month,Raw_Bundled_Contracts,Consulting_Component,Hardware_Units_Shipped,Reported_COGS,OpEx_Base,Historical_FX_Hedge_Rate,Target_Earn_Out_Milestone,Bank_Cash_Balance
Month_1,450000,150000,50,135000,180000,1.00,5000000,1200000
Month_2,480000,160000,53,143100,182000,1.00,5000000,0
Month_3,520000,173000,57,153900,185000,1.00,5000000,0
Month_4,560000,186000,62,167400,188000,1.00,5000000,0
Month_5,610000,203000,67,180900,190000,1.00,5000000,0
Month_6,660000,220000,73,197100,195000,1.00,5000000,0
Month_7,720000,240000,80,432000,198000,3.00,5000000,0
Month_8,780000,260000,86,464400,202000,3.00,5000000,0
Month_9,850000,283000,94,507600,205000,3.00,5000000,0
Month_10,920000,306000,102,550800,210000,3.00,5000000,0
Month_11,1000000,333000,111,599400,215000,3.00,5000000,0
Month_12,1100000,366000,122,658800,220000,3.00,5000000,0
